상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
12073632,소담치킨,평창점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42760,평창군,4276025000,평창읍,4276025023,평창읍,4276025023101370087,1,대지,137,87,강원도 평창군 평창읍 하리 137-87,427603228012,강원도 평창군 평창읍 백오로,36,,4276025023101370087026630,,강원도 평창군 평창읍 백오로 36,232807,25376,,,,128.391831006809,37.3677331483139
12073863,컬투치킨앤피자,앤피자,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42760,평창군,4276036000,진부면,4276036021,진부면,4276036021102060112,1,대지,206,112,강원도 평창군 진부면 하진부리 206-112,427604484341,강원도 평창군 진부면 진부시장뒷길,53,,4276036021102060112014506,델타하임,강원도 평창군 진부면 진부시장뒷길 53,232948,25325,,1,,128.558302963734,37.6382076927493
12073962,굽네치킨,완도점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,46,전라남도,46890,완도군,4689025000,완도읍,4689025022,완도읍,4689025022110620004,1,대지,1062,4,전라남도 완도군 완도읍 가용리 1062-4,468904700011,전라남도 완도군 완도읍 개포로145번길,27,,4689025022110640002000001,,전라남도 완도군 완도읍 개포로145번길 27,537801,59115,,,,126.742998148478,34.3212880078721
12074010,페리카나,연풍점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,43,충청북도,43760,괴산군,4376033000,연풍면,4376033022,연풍면,4376033022106260006,1,대지,626,6,충청북도 괴산군 연풍면 행촌리 626-6,437603246036,충청북도 괴산군 연풍면 향교로,28,,4376033022106260006012215,금성전자,충청북도 괴산군 연풍면 향교로 28,367882,28013,,,,127.996614299961,36.7644998928428
12074177,BHC치킨,강남대점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41463,용인시 기흥구,4146352000,구갈동,4146310200,구갈동,4146310200106030000,1,대지,603,,경기도 용인시 기흥구 구갈동 603,414633204003,경기도 용인시 기흥구 강남동로,42,,4146310200106030000022258,강남마을6단지자연&아이원아파트,경기도 용인시 기흥구 강남동로 42,446779,16978,,1,,127.131840288162,37.2696986909024
12074242,멕시카나동촌점,동촌점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,27,대구광역시,27140,동구,2714065500,동촌동,2714011000,검사동,2714011000109080112,1,대지,908,112,대구광역시 동구 검사동 908-112,271403142037,대구광역시 동구 입석로,90,,2714011000109080112000002,,대구광역시 동구 입석로 90,701860,41143,,1,,128.652998346808,35.889414345126
12074274,굽네치킨,양산물금점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48330,양산시,4833025300,물금읍,4833025321,물금읍,4833025321108850001,1,대지,885,1,경상남도 양산시 물금읍 물금리 885-1,483304814901,경상남도 양산시 물금읍 버들길,36,,4833025321108850001000001,,경상남도 양산시 물금읍 버들길 36,626812,50657,,1,,128.989034035182,35.3069281407474
12074280,옛날산골통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41250,동두천시,4125052000,생연2동,4125010300,생연동,4125010300106940007,1,대지,694,7,경기도 동두천시 생연동 694-7,412504367129,경기도 동두천시 중앙로217번길,3,,4125010300106940005007931,,경기도 동두천시 중앙로217번길 3,483030,11332,,1,,127.052525739179,37.9008213581419
12074281,용천통닭,송정점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29200,광산구,2920054000,도산동,2920010200,도산동,2920010200112920001,1,대지,1292,1,광주광역시 광산구 도산동 1292-1,292004289051,광주광역시 광산구 남동길30번길,37,,2920010200112920001010281,,광주광역시 광산구 남동길30번길 37,506020,62449,,1,,126.790245098096,35.1289114606541
12074304,BBQ치킨,대연점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,26,부산광역시,26290,남구,2629055000,대연5동,2629010600,대연동,2629010600102860018,1,대지,286,18,부산광역시 남구 대연동 286-18,262904193431,부산광역시 남구 진남로36번길,2,,2629010600102860018000722,,부산광역시 남구 진남로36번길 2,608020,48441,,1,,129.091597168399,35.1382359917814
12074374,어니언눈꽃치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,29,광주광역시,29200,광산구,2920052500,송정2동,2920010100,송정동,2920010100109680001,1,대지,968,1,광주광역시 광산구 송정동 968-1,292004289321,광주광역시 광산구 송정로8번길,50,,2920010100109660003006389,,광주광역시 광산구 송정로8번길 50,506010,62437,,1,,126.790805863801,35.1347670137202
12074518,케일리팜치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41480,파주시,4148057000,운정3동,4148010800,야당동,4148010800102260041,1,대지,226,41,경기도 파주시 야당동 226-41,414804418468,경기도 파주시 송학1길,126,29,4148010800102260041000001,,경기도 파주시 송학1길 126-29,413837,10909,,1,,126.764723349541,37.7155673375632
12074696,옛날통닭,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41360,남양주시,4136025300,진접읍,4136025327,진접읍,4136025327105490006,1,대지,549,6,경기도 남양주시 진접읍 진벌리 549-6,413603197053,경기도 남양주시 진접읍 진벌로,91,,4136025327105490006026003,,경기도 남양주시 진접읍 진벌로 91,472861,12021,,1,,127.215552237886,37.7437299049861
